84448,4373,4899,36942,13399,22661,23456,240250,2562,5
4178,6926,73199,62875,504898,43859,31323,42105,57399,7
3715,5340,617145,5012,42511,36147,16632,39790,56415,7
209,1491,12781,-3456,10932,2872,12493,15217,345567,2
254,65795,102773,862849,72215,74140,2198,218098,984,8
1611,32573,58744,4499,30172,5760,3902,33708,4242980,90
177,27573,165698,15501,146909,360063,18479,3789,83678,5
293,19134,38686,32872,20911,3416001,1716,30410,3018,90
350,46228,81745,53158,36117,1128,1275681,3074,146012,4
374,13876,73895,72116789746,64194,80201,178212,1870176,205,7
